annotator,title,comment_id,comment_text,author,stance_pro,stance_con,argument_type,pathos_type,ethos_appeal,ethos_challenge,word_count,context,timestamp,published_date,like_count,mentions,root_comment_id,root_comment_text,lang
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,user_0001,russia,,appeal to emotion or moral values (pathos),"negative emotion (fear, anger, guilt, )",,,17,,2024-03-25 04:53:00+00:00,2024-03-25T04:53:00Z,8403,,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1OjoAS4gc6,"""Justice"" Soviet style eh",user_0002,,russia,appeal to emotion or moral values (pathos),sarcasm/irony(the opposite meaning),,,4,,2024-03-25 05:29:17+00:00,2024-03-25T05:29:17Z,207,,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1OmS_hL9lR,Zelensky is complicit in this horror,user_0003,,ukraine,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, )",,zelensky,6,,2024-03-25 05:52:25+00:00,2024-03-25T05:52:25Z,181,,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1OneEowWhp,I remember the case where US cops beat the sh#t out of the cop killer.,user_0004,,the west,appeal to emotion or moral values (pathos),"negative emotion (fear, anger, guilt, )",,,15,,2024-03-25 06:02:53+00:00,2024-03-25T06:02:53Z,0,,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1Opq4djTS1,Russia is hell. Can't you see that?,user_0005,,russia,appeal to emotion or moral values (pathos),"negative emotion (fear, anger, guilt, )",,,7,,2024-03-25 06:21:59+00:00,2024-03-25T06:21:59Z,0,,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1OpzxEAraB,Let's be honest they have just arrested the first brown guy they could find,user_0006,,russia,appeal to emotion or moral values (pathos),"negative emotion (fear, anger, guilt, )",,,14,,2024-03-25 06:23:20+00:00,2024-03-25T06:23:20Z,195,,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1Orj3WSQ-x,100% true,user_0007,,russia,,,,,3,Let's be honest they have just arrested the first brown guy they could find,2024-03-25 06:38:30+00:00,2024-03-25T06:38:30Z,35,TrickyTree84,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1OroQMM6Ga,​fuck off Ukraine has nothing to do with terrorists State. So far Ukraine has already lost tens of thousands of innocent civilian compared to terrorist state,user_0008,ukraine,russia,"appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, )",ukraine,,26,Zelensky is complicit in this horror,2024-03-25 06:39:14+00:00,2024-03-25T06:39:14Z,0,garycallihan4206,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1Osf9Js4I2,russia did this putin wants to show his people somthing to be angery at so that they will still keep fighting for him and russia has killed thousands of ukrain civilians stop blinding yourself,user_0009,,russia,"appeal to reason, giving evidence (logos), appeal to emotion or moral values (pathos), appeal to/challenging authority (ethos)","negative emotion (fear, anger, guilt, )",,"putin, user",34,,2024-03-25 06:46:42+00:00,2024-03-25T06:46:42Z,0,,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
624,Moscow terror attack - injured suspects appear in court accused of killing 137 people | BBC News,UgyRY9NF6V0O980s26d4AaABAg.A1OfePf-Qo1A1OtBMPaln4,I guess you meant to say only medieval states treat suspects like this. In civilized countries the punishment comes only after the trial.,user_0010,the west,torturing suspects,"appeal to reason, giving evidence (logos), none","negative emotion (fear, anger, guilt, ), positive emotion (hope, pride, happiness, admiration) ",,,23,,2024-03-25 06:51:14+00:00,2024-03-25T06:51:14Z,25,,UgyRY9NF6V0O980s26d4AaABAg,Getting caught alive for something like this in Russia is like walking into the gates of hell,en
